Year,College,Sport,Gender,Expense ($)
2011,Rider,Basketball,Mens,1518322
2010,Rider,Basketball,Mens,1431976
2009,Rider,Basketball,Mens,1403496
2008,Rider,Basketball,Mens,1272434
2007,Rider,Basketball,Mens,1225716
2006,Rider,Basketball,Mens,1064341
2005,Rider,Basketball,Mens,1131868
2017,Rider,Basketball,Womens,1655390
2016,Rider,Basketball,Womens,1826219
2015,Rider,Basketball,Womens,1455548
2014,Rider,Basketball,Womens,1476671
2013,Rider,Basketball,Womens,1434304
2012,Rider,Basketball,Womens,1487241
2011,Rider,Basketball,Womens,1412604
2010,Rider,Basketball,Womens,1344892
2009,Rider,Basketball,Womens,1291134
2008,Rider,Basketball,Womens,1197235
2007,Rider,Basketball,Womens,1320327
2006,Rider,Basketball,Womens,1084566
2005,Rider,Basketball,Womens,1167292
2017,Rider,Golf,Mens,131899
2016,Rider,Golf,Mens,123391
2015,Rider,Golf,Mens,120164
2014,Rider,Golf,Mens,107134
2013,Rider,Golf,Mens,115605
2012,Rider,Golf,Mens,92326
2011,Rider,Golf,Mens,94845
2010,Rider,Golf,Mens,103522
2009,Rider,Golf,Mens,101784
2008,Rider,Golf,Mens,114912
2007,Rider,Golf,Mens,84545
2006,Rider,Golf,Mens,77328
2005,Rider,Golf,Mens,89935
2017,Rider,Soccer,Mens,648848
2016,Rider,Soccer,Mens,650970
2015,Rider,Soccer,Mens,570418
2014,Rider,Soccer,Mens,512415
2013,Rider,Soccer,Mens,459351
2012,Rider,Soccer,Mens,440361
2011,Rider,Soccer,Mens,489030
2010,Rider,Soccer,Mens,499698
2009,Rider,Soccer,Mens,493115
2008,Rider,Soccer,Mens,456386
2007,Rider,Soccer,Mens,449124
2006,Rider,Soccer,Mens,438827
2005,Rider,Soccer,Mens,393184
2017,Rider,Soccer,Womens,600776
2016,Rider,Soccer,Womens,598697
2015,Rider,Soccer,Womens,518822
2014,Rider,Soccer,Womens,533680
2013,Rider,Soccer,Womens,471993
2012,Rider,Soccer,Womens,439918
2011,Rider,Soccer,Womens,428539
2010,Rider,Soccer,Womens,421837
2009,Rider,Soccer,Womens,412054
2008,Rider,Soccer,Womens,439354
2007,Rider,Soccer,Womens,426728
2006,Rider,Soccer,Womens,391811
2005,Rider,Soccer,Womens,356755
2017,Rider,Softball,Womens,532222
2016,Rider,Softball,Womens,435576
2015,Rider,Softball,Womens,703078
2014,Rider,Softball,Womens,546696
2013,Rider,Softball,Womens,468157
2012,Rider,Softball,Womens,466777
2011,Rider,Softball,Womens,491342
2010,Rider,Softball,Womens,478037
2009,Rider,Softball,Womens,469270
2008,Rider,Softball,Womens,444390
2007,Rider,Softball,Womens,423697
2006,Rider,Softball,Womens,430313
2005,Rider,Softball,Womens,387601
2017,Rider,XC + TF,Womens,601341
2016,Rider,XC + TF,Womens,600421
2015,Rider,XC + TF,Womens,525732
2014,Rider,XC + TF,Womens,440184
2013,Rider,XC + TF,Womens,445556
2012,Rider,XC + TF,Womens,520833
2011,Rider,XC + TF,Womens,375089
2010,Rider,XC + TF,Womens,380335
2009,Rider,XC + TF,Womens,423889
2008,Rider,XC + TF,Womens,396109
2007,Rider,XC + TF,Womens,398839
2006,Rider,XC + TF,Womens,336692
2005,Rider,XC + TF,Womens,337287
2017,Rider,Volleyball,Womens,454856
2016,Rider,Volleyball,Womens,396098
2015,Rider,Volleyball,Womens,406353
2014,Rider,Volleyball,Womens,392285
2013,Rider,Volleyball,Womens,362998
2012,Rider,Volleyball,Womens,329252
2011,Rider,Volleyball,Womens,326357
2010,Rider,Volleyball,Womens,285564
2009,Rider,Volleyball,Womens,311730
2008,Rider,Volleyball,Womens,295512
2007,Rider,Volleyball,Womens,275848
2006,Rider,Volleyball,Womens,252201
2005,Rider,Volleyball,Womens,240168
2017,Rider,XC + TF,Mens,576905
2016,Rider,XC + TF,Mens,591035
2015,Rider,XC + TF,Mens,530836
2014,Rider,XC + TF,Mens,468980
2013,Rider,XC + TF,Mens,430296
2012,Rider,XC + TF,Mens,448321
2011,Rider,XC + TF,Mens,403508
2010,Rider,XC + TF,Mens,360380
2009,Rider,XC + TF,Mens,373161
2008,Rider,XC + TF,Mens,363674
2007,Rider,XC + TF,Mens,376100
2006,Rider,XC + TF,Mens,342850
2005,Rider,XC + TF,Mens,357399
2017,Rider,S + D,Womens,445928
2016,Rider,S + D,Womens,435707
2015,Rider,S + D,Womens,464989
2014,Rider,S + D,Womens,394003
2013,Rider,S + D,Womens,361384
2012,Rider,S + D,Womens,354423
2011,Rider,S + D,Womens,343113
2010,Rider,S + D,Womens,344838
2009,Rider,S + D,Womens,365887
2008,Rider,S + D,Womens,306109
2007,Rider,S + D,Womens,287601
2006,Rider,S + D,Womens,256271
2005,Rider,S + D,Womens,223635
2017,Rider,S + D,Mens,505812
2016,Rider,S + D,Mens,501398
2015,Rider,S + D,Mens,489077
2014,Rider,S + D,Mens,447706
2013,Rider,S + D,Mens,387591
2012,Rider,S + D,Mens,362988
2011,Rider,S + D,Mens,408321
2010,Rider,S + D,Mens,333613
2009,Rider,S + D,Mens,337790
2008,Rider,S + D,Mens,284782
2007,Rider,S + D,Mens,284512
2006,Rider,S + D,Mens,233651
2005,Rider,S + D,Mens,221121
2017,Rider,Tennis,Womens,91514
2016,Rider,Tennis,Womens,92056
2015,Rider,Tennis,Womens,73413
2014,Rider,Tennis,Womens,82995
2013,Rider,Tennis,Womens,57903
2012,Rider,Tennis,Womens,74667
2011,Rider,Tennis,Womens,76205
2010,Rider,Tennis,Womens,83368
2009,Rider,Tennis,Womens,78008
2008,Rider,Tennis,Womens,52963
2007,Rider,Tennis,Womens,64139
2006,Rider,Tennis,Womens,70538
2005,Rider,Tennis,Womens,71377
2017,Rider,Tennis,Mens,90013
2016,Rider,Tennis,Mens,59069
2015,Rider,Tennis,Mens,59190
2014,Rider,Tennis,Mens,60078
2013,Rider,Tennis,Mens,57903
2012,Rider,Tennis,Mens,59667
2011,Rider,Tennis,Mens,56205
2010,Rider,Tennis,Mens,64082
2009,Rider,Tennis,Mens,60193
2008,Rider,Tennis,Mens,57558
2007,Rider,Tennis,Mens,50665
2006,Rider,Tennis,Mens,57738
2005,Rider,Tennis,Mens,54908
2017,Monmouth,Baseball,Mens,990499
2016,Monmouth,Baseball,Mens,965915
2015,Monmouth,Baseball,Mens,809377
2014,Monmouth,Baseball,Mens,804428
2013,Monmouth,Baseball,Mens,840574
2012,Monmouth,Baseball,Mens,780683
2011,Monmouth,Baseball,Mens,729638
2010,Monmouth,Baseball,Mens,730631
2009,Monmouth,Baseball,Mens,643373
2008,Monmouth,Baseball,Mens,629297
2007,Monmouth,Baseball,Mens,491015
2006,Monmouth,Baseball,Mens,496036
2005,Monmouth,Baseball,Mens,425326
2017,Monmouth,Basketball,Mens,2617464
2016,Monmouth,Basketball,Mens,2690690
2015,Monmouth,Basketball,Mens,2054441
2014,Monmouth,Basketball,Mens,1837106
2013,Monmouth,Basketball,Mens,1688319
2012,Monmouth,Basketball,Mens,1625967
2011,Monmouth,Basketball,Mens,1528983
2010,Monmouth,Basketball,Mens,1598946
2009,Monmouth,Basketball,Mens,1270190
2008,Monmouth,Basketball,Mens,1156887
2007,Monmouth,Basketball,Mens,1015515
2006,Monmouth,Basketball,Mens,1138190
2005,Monmouth,Basketball,Mens,1070813
2017,Monmouth,Basketball,Womens,1670134
2016,Monmouth,Basketball,Womens,1654679
2015,Monmouth,Basketball,Womens,1470632
2014,Monmouth,Basketball,Womens,1648843
2013,Monmouth,Basketball,Womens,1383566
2012,Monmouth,Basketball,Womens,1429382
2011,Monmouth,Basketball,Womens,1283357
2010,Monmouth,Basketball,Womens,1266510
2009,Monmouth,Basketball,Womens,1275973
2008,Monmouth,Basketball,Womens,1059370
2007,Monmouth,Basketball,Womens,854982
2006,Monmouth,Basketball,Womens,882078
2005,Monmouth,Basketball,Womens,877141
2017,Monmouth,Golf,Mens,248855
2016,Monmouth,Golf,Mens,217033
2015,Monmouth,Golf,Mens,188695
2014,Monmouth,Golf,Mens,189072
2013,Monmouth,Golf,Mens,166664
2012,Monmouth,Golf,Mens,161997
2011,Monmouth,Golf,Mens,166010
2010,Monmouth,Golf,Mens,148144
2009,Monmouth,Golf,Mens,146000
2008,Monmouth,Golf,Mens,138132
2007,Monmouth,Golf,Mens,124276
2006,Monmouth,Golf,Mens,135143
2005,Monmouth,Golf,Mens,116628
2017,Monmouth,Golf,Womens,320299
2016,Monmouth,Golf,Womens,243414
2015,Monmouth,Golf,Womens,212031
2014,Monmouth,Golf,Womens,168381
2013,Monmouth,Golf,Womens,127107
2012,Monmouth,Golf,Womens,168950
2011,Monmouth,Golf,Womens,138883
2010,Monmouth,Golf,Womens,163347
2009,Monmouth,Golf,Womens,109819
2008,Monmouth,Golf,Womens,110624
2007,Monmouth,Golf,Womens,102697
2006,Monmouth,Golf,Womens,125395
2005,Monmouth,Golf,Womens,84400
2017,Monmouth,Football,Mens,5041756
2016,Monmouth,Football,Mens,4919009
2015,Monmouth,Football,Mens,4546862
2014,Monmouth,Football,Mens,4121774
2013,Monmouth,Football,Mens,3458335
2012,Monmouth,Football,Mens,2964667
2011,Monmouth,Football,Mens,2830733
2010,Monmouth,Football,Mens,2533614
2009,Monmouth,Football,Mens,2265998
2008,Monmouth,Football,Mens,1669338
2007,Monmouth,Football,Mens,1193778
2006,Monmouth,Football,Mens,880823
2005,Monmouth,Football,Mens,842868
2017,Monmouth,Lacrosse,Womens,888436
2016,Monmouth,Lacrosse,Womens,838644
2015,Monmouth,Lacrosse,Womens,769946
2014,Monmouth,Lacrosse,Womens,738065
2013,Monmouth,Lacrosse,Womens,706076
2012,Monmouth,Lacrosse,Womens,651425
2011,Monmouth,Lacrosse,Womens,549751
2010,Monmouth,Lacrosse,Womens,514362
2009,Monmouth,Lacrosse,Womens,462741
2008,Monmouth,Lacrosse,Womens,441553
2007,Monmouth,Lacrosse,Womens,377937
2006,Monmouth,Lacrosse,Womens,385392
2005,Monmouth,Lacrosse,Womens,366833
2017,Monmouth,Soccer,Womens,1113435
2016,Monmouth,Soccer,Womens,1075163
2015,Monmouth,Soccer,Womens,1073369
2014,Monmouth,Soccer,Womens,1035920
2013,Monmouth,Soccer,Womens,898172
2012,Monmouth,Soccer,Womens,848210
2011,Monmouth,Soccer,Womens,770802
2010,Monmouth,Soccer,Womens,671188
2009,Monmouth,Soccer,Womens,548467
2008,Monmouth,Soccer,Womens,469535
2007,Monmouth,Soccer,Womens,385673
2006,Monmouth,Soccer,Womens,387820
2005,Monmouth,Soccer,Womens,312145
2017,Monmouth,Softball,Womens,927096
2016,Monmouth,Softball,Womens,737483
2015,Monmouth,Softball,Womens,704836
2014,Monmouth,Softball,Womens,683563
2013,Monmouth,Softball,Womens,610215
2012,Monmouth,Softball,Womens,572906
2011,Monmouth,Softball,Womens,530373
2010,Monmouth,Softball,Womens,473191
2009,Monmouth,Softball,Womens,453359
2008,Monmouth,Softball,Womens,411586
2007,Monmouth,Softball,Womens,386736
2006,Monmouth,Softball,Womens,393544
2005,Monmouth,Softball,Womens,335378
2017,Monmouth,Tennis,Mens,421102
2016,Monmouth,Tennis,Mens,329804
2015,Monmouth,Tennis,Mens,315274
2014,Monmouth,Tennis,Mens,274284
2013,Monmouth,Tennis,Mens,225058
2012,Monmouth,Tennis,Mens,175155
2011,Monmouth,Tennis,Mens,173581
2010,Monmouth,Tennis,Mens,143560
2009,Monmouth,Tennis,Mens,138975
2008,Monmouth,Tennis,Mens,120365
2007,Monmouth,Tennis,Mens,99289
2006,Monmouth,Tennis,Mens,84169
2005,Monmouth,Tennis,Mens,70191
2017,Monmouth,Tennis,Womens,264377
2016,Monmouth,Tennis,Womens,231601
2015,Monmouth,Tennis,Womens,181434
2014,Monmouth,Tennis,Womens,175863
2013,Monmouth,Tennis,Womens,150419
2012,Monmouth,Tennis,Womens,103158
2011,Monmouth,Tennis,Womens,102727
2010,Monmouth,Tennis,Womens,106897
2009,Monmouth,Tennis,Womens,96715
2008,Monmouth,Tennis,Womens,79484
2007,Monmouth,Tennis,Womens,60222
2006,Monmouth,Tennis,Womens,63088
2005,Monmouth,Tennis,Womens,64747
2017,Monmouth,Soccer,Mens,953798
2016,Monmouth,Soccer,Mens,920352
2015,Monmouth,Soccer,Mens,907285
2014,Monmouth,Soccer,Mens,892830
2013,Monmouth,Soccer,Mens,830274
2012,Monmouth,Soccer,Mens,834909
2011,Monmouth,Soccer,Mens,782412
2010,Monmouth,Soccer,Mens,728109
2009,Monmouth,Soccer,Mens,532501
2008,Monmouth,Soccer,Mens,477390
2007,Monmouth,Soccer,Mens,429290
2006,Monmouth,Soccer,Mens,376621
2005,Monmouth,Soccer,Mens,304210
2017,Niagara,Baseball,Mens,606675
2016,Niagara,Baseball,Mens,574158
2015,Niagara,Baseball,Mens,633834
2014,Niagara,Baseball,Mens,543692
2013,Niagara,Baseball,Mens,568786
2012,Niagara,Baseball,Mens,509426
2011,Niagara,Baseball,Mens,528593
2010,Niagara,Baseball,Mens,429190
2009,Niagara,Baseball,Mens,376937
2008,Niagara,Baseball,Mens,381047
2007,Niagara,Baseball,Mens,380567
2006,Niagara,Baseball,Mens,363267
2005,Niagara,Baseball,Mens,314737
2017,Niagara,Basketball,Mens,2020153
2016,Niagara,Basketball,Mens,1796129
2015,Niagara,Basketball,Mens,1622963
2014,Niagara,Basketball,Mens,1402822
2013,Niagara,Basketball,Mens,1405571
2012,Niagara,Basketball,Mens,1529288
2011,Niagara,Basketball,Mens,1461436
2010,Niagara,Basketball,Mens,1366542
2009,Niagara,Basketball,Mens,1366823
2008,Niagara,Basketball,Mens,1285006
2007,Niagara,Basketball,Mens,1124739
2006,Niagara,Basketball,Mens,997936
2005,Niagara,Basketball,Mens,931452
2017,Niagara,Basketball,Womens,1490632
2016,Niagara,Basketball,Womens,1540060
2015,Niagara,Basketball,Womens,1296409
2014,Niagara,Basketball,Womens,1238850
2013,Niagara,Basketball,Womens,1153253
2012,Niagara,Basketball,Womens,1204857
2011,Niagara,Basketball,Womens,1158567
2010,Niagara,Basketball,Womens,1122923
2009,Niagara,Basketball,Womens,991727
2008,Niagara,Basketball,Womens,1088235
2007,Niagara,Basketball,Womens,853693
2006,Niagara,Basketball,Womens,814913
2005,Niagara,Basketball,Womens,692930
2017,Niagara,S + D,Mens,220377
2016,Niagara,S + D,Mens,210794
2015,Niagara,S + D,Mens,181921
2014,Niagara,S + D,Mens,209587
2013,Niagara,S + D,Mens,206782
2012,Niagara,S + D,Mens,187367
2011,Niagara,S + D,Mens,171671
2010,Niagara,S + D,Mens,185421
2009,Niagara,S + D,Mens,185982
2008,Niagara,S + D,Mens,177847
2007,Niagara,S + D,Mens,145299
2006,Niagara,S + D,Mens,131762
2005,Niagara,S + D,Mens,141109
2017,Niagara,S + D,Womens,266829
2016,Niagara,S + D,Womens,248267
2015,Niagara,S + D,Womens,212254
2014,Niagara,S + D,Womens,224818
2013,Niagara,S + D,Womens,211630
2012,Niagara,S + D,Womens,190710
2011,Niagara,S + D,Womens,185868
2010,Niagara,S + D,Womens,213519
2009,Niagara,S + D,Womens,234493
2008,Niagara,S + D,Womens,198520
2007,Niagara,S + D,Womens,167165
2006,Niagara,S + D,Womens,163289
2005,Niagara,S + D,Womens,148174
2017,Niagara,Lacrosse,Womens,668035
2016,Niagara,Lacrosse,Womens,661877
2015,Niagara,Lacrosse,Womens,556192
2014,Niagara,Lacrosse,Womens,503819
2013,Niagara,Lacrosse,Womens,383626
2012,Niagara,Lacrosse,Womens,258483
2011,Niagara,Lacrosse,Womens,250085
2010,Niagara,Lacrosse,Womens,177604
2009,Niagara,Lacrosse,Womens,139178
2008,Niagara,Lacrosse,Womens,108620
2007,Niagara,Lacrosse,Womens,108392
2006,Niagara,Lacrosse,Womens,151084
2005,Niagara,Lacrosse,Womens,139803
2017,Niagara,Soccer,Mens,545581
2016,Niagara,Soccer,Mens,528192
2015,Niagara,Soccer,Mens,552933
2014,Niagara,Soccer,Mens,569504
2013,Niagara,Soccer,Mens,486884
2012,Niagara,Soccer,Mens,513169
2011,Niagara,Soccer,Mens,432155
2010,Niagara,Soccer,Mens,407926
2009,Niagara,Soccer,Mens,364575
2008,Niagara,Soccer,Mens,354763
2007,Niagara,Soccer,Mens,309624
2006,Niagara,Soccer,Mens,251622
2005,Niagara,Soccer,Mens,231523
2017,Niagara,Soccer,Womens,593891
2016,Niagara,Soccer,Womens,603649
2015,Niagara,Soccer,Womens,563372
2014,Niagara,Soccer,Womens,497388
2013,Niagara,Soccer,Womens,508164
2012,Niagara,Soccer,Womens,498496
2011,Niagara,Soccer,Womens,460515
2010,Niagara,Soccer,Womens,437227
2009,Niagara,Soccer,Womens,434958
2008,Niagara,Soccer,Womens,356915
2007,Niagara,Soccer,Womens,354764
2006,Niagara,Soccer,Womens,322041
2005,Niagara,Soccer,Womens,289583
2017,Niagara,Softball,Womens,447709
2016,Niagara,Softball,Womens,420484
2015,Niagara,Softball,Womens,432362
2014,Niagara,Softball,Womens,459276
2013,Niagara,Softball,Womens,385593
2012,Niagara,Softball,Womens,361854
2011,Niagara,Softball,Womens,346871
2010,Niagara,Softball,Womens,320160
2009,Niagara,Softball,Womens,283988
2008,Niagara,Softball,Womens,323380
2007,Niagara,Softball,Womens,258488
2006,Niagara,Softball,Womens,246275
2005,Niagara,Softball,Womens,201270
2017,Niagara,Tennis,Mens,113119
2016,Niagara,Tennis,Mens,113399
2015,Niagara,Tennis,Mens,108875
2014,Niagara,Tennis,Mens,133334
2013,Niagara,Tennis,Mens,121349
2012,Niagara,Tennis,Mens,116316
2011,Niagara,Tennis,Mens,103734
2010,Niagara,Tennis,Mens,90643
2009,Niagara,Tennis,Mens,71913
2008,Niagara,Tennis,Mens,83543
2007,Niagara,Tennis,Mens,91413
2006,Niagara,Tennis,Mens,88846
2005,Niagara,Tennis,Mens,69979
2017,Niagara,Tennis,Womens,134431
2016,Niagara,Tennis,Womens,128637
2015,Niagara,Tennis,Womens,138718
2014,Niagara,Tennis,Womens,160010
2013,Niagara,Tennis,Womens,155302
2012,Niagara,Tennis,Womens,146832
2011,Niagara,Tennis,Womens,125720
2010,Niagara,Tennis,Womens,90430
2009,Niagara,Tennis,Womens,133023
2008,Niagara,Tennis,Womens,111084
2007,Niagara,Tennis,Womens,103080
2006,Niagara,Tennis,Womens,88851
2005,Niagara,Tennis,Womens,76745
2017,Niagara,Volleyball,Womens,448655
2016,Niagara,Volleyball,Womens,410868
2015,Niagara,Volleyball,Womens,388393
2014,Niagara,Volleyball,Womens,415920
2013,Niagara,Volleyball,Womens,288084
2012,Niagara,Volleyball,Womens,304086
2011,Niagara,Volleyball,Womens,304604
2010,Niagara,Volleyball,Womens,297248
2009,Niagara,Volleyball,Womens,242988
2008,Niagara,Volleyball,Womens,219858
2007,Niagara,Volleyball,Womens,212334
2006,Niagara,Volleyball,Womens,193898
2005,Niagara,Volleyball,Womens,160634
2017,Niagara,Golf,Mens,80065
2016,Niagara,Golf,Mens,74942
2015,Niagara,Golf,Mens,67850
2014,Niagara,Golf,Mens,63317
2013,Niagara,Golf,Mens,49299
2012,Niagara,Golf,Mens,54521
2011,Niagara,Golf,Mens,56369
2010,Niagara,Golf,Mens,58376
2009,Niagara,Golf,Mens,58089
2008,Niagara,Golf,Mens,56001
2007,Niagara,Golf,Mens,56093
2006,Niagara,Golf,Mens,52366
2005,Niagara,Golf,Mens,44934
2017,Niagara,XC,Mens,45477
2016,Niagara,XC,Mens,74893
2015,Niagara,XC,Mens,101761
2014,Niagara,XC,Mens,80678
2013,Niagara,XC,Mens,80660
2012,Niagara,XC,Mens,56439
2011,Niagara,XC,Mens,59118
2010,Niagara,XC,Mens,72376
2009,Niagara,XC,Mens,63976
2008,Niagara,XC,Mens,64231
2007,Niagara,XC,Mens,65623
2006,Niagara,XC,Mens,46113
2005,Niagara,XC,Mens,27496
2017,Niagara,XC,Womens,55296
2016,Niagara,XC,Womens,44795
2015,Niagara,XC,Womens,34819
2014,Niagara,XC,Womens,89072
2013,Niagara,XC,Womens,73162
2012,Niagara,XC,Womens,71019
2011,Niagara,XC,Womens,69113
2010,Niagara,XC,Womens,71829
2009,Niagara,XC,Womens,71634
2008,Niagara,XC,Womens,66566
2007,Niagara,XC,Womens,55273
2006,Niagara,XC,Womens,52861
2005,Niagara,XC,Womens,31408
